### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
71,603,763,56.4972,0,255,0,0,100,1,1
72,242,332,-19.3919,0,255,0,0,100,1,1
73,676,271,142.575,0,255,0,0,100,1,1
74,459,580,-91.5892,0,255,0,0,100,1,1
75,219,571,-173.383,0,255,0,0,100,1,1
76,687,878,45.2186,0,255,0,0,100,1,1
77,719,734,82.8494,0,255,0,0,100,1,1
78,901,532,14.6765,0,255,0,0,100,1,1
79,344,594,-153.605,0,255,0,0,100,1,1
80,744,346,11.8323,0,255,0,0,100,1,1
81,104,406,-95.6016,0,255,0,0,100,1,1
82,270,504,78.1612,0,255,0,0,100,1,1
83,557,857,121.772,0,255,0,0,100,1,1
84,752,624,-4.93556,0,255,0,0,100,1,1
85,607,148,121.396,0,255,0,0,100,1,1
86,736,524,123.309,0,255,0,0,100,1,1
87,747,323,-139.6,0,255,0,0,100,1,1
88,667,579,-125.981,0,255,0,0,100,1,1
89,559,830,122.974,0,255,0,0,100,1,1
90,829,351,-140.789,0,255,0,0,100,1,1
91,157,753,-52.1137,0,255,0,0,100,1,1
92,477,868,-124.274,0,255,0,0,100,1,1
93,477,125,130.723,0,255,0,0,100,1,1
94,184,400,-162.867,0,255,0,0,100,1,1
95,576,553,24.0042,0,255,0,0,100,1,1
96,899,606,119.206,0,255,0,0,100,1,1
97,124,697,-81.8515,0,255,0,0,100,1,1
98,710,740,94.7833,0,255,0,0,100,1,1
99,70,374,66.832,0,255,0,0,100,1,1
100,610,911,-101.789,0,255,0,0,100,1,1
101,208,457,120.106,0,255,0,0,100,1,1
102,230,890,108.311,0,255,0,0,100,1,1
103,489,878,-28.0044,0,255,0,0,100,1,1
104,947,533,123.899,0,255,0,0,100,1,1
105,817,679,-107.216,0,255,0,0,100,1,1
106,831,329,37.8726,0,255,0,0,100,1,1
107,664,510,15.7428,0,255,0,0,100,1,1
108,846,456,165.512,0,255,0,0,100,1,1
109,308,745,96.0975,0,255,0,0,100,1,1
110,546,395,-21.8863,0,255,0,0,100,1,1
111,691,855,171.071,0,255,0,0,100,1,1
112,763,267,-70.4816,0,255,0,0,100,1,1
113,130,328,59.2146,0,255,0,0,100,1,1
114,708,305,166.503,0,255,0,0,100,1,1
115,797,668,162.828,0,255,0,0,100,1,1
116,448,587,-7.89213,0,255,0,0,100,1,1
117,328,425,-160.884,0,255,0,0,100,1,1
118,687,842,26.5429,0,255,0,0,100,1,1
119,401,758,-37.2579,0,255,0,0,100,1,1
120,413,354,32.9602,0,255,0,0,100,1,1
121,525,262,-124.476,0,255,0,0,100,1,1
122,491,188,96.2201,0,255,0,0,100,1,1
123,225,447,-93.7594,0,255,0,0,100,1,1
124,285,329,22.2489,0,255,0,0,100,1,1
125,341,299,-118.363,0,255,0,0,100,1,1
126,407,721,177.244,0,255,0,0,100,1,1
127,546,851,-155.644,0,255,0,0,100,1,1
128,567,120,-44.0999,0,255,0,0,100,1,1
129,829,587,5.42341,0,255,0,0,100,1,1
